Cleaned_Review,Sentiment
small satisfying college extra brilliant placement placement placement pict increased since last year year target tpo company almost half student got placed first semester highest salary package offered lpa placement cell beneficial several training program also held start infrastructure pict small campus facility like lab wifi library etc available lab classroom wellequipped campus selfsoothing lot tree quality food canteen good hostel luxurious faculty teacher intelligent knowledgeable senior experienced one ready help student whenever required teacher use chalk board well presentation method teaching course curriculum useful sens pict host several technical nontechnical event among inc credenz ieee largest,2
placement satisfactory extracurricular activity increased placement cse student student get placed etc student get placed company like rakuten goldman sachs tc infosys wipro visit campus every year placement rakuten offered highest salary package lpa average salary package offered lpa infrastructure campus small basketball ground table tennis hall classroom lab big enough wellequipped library good college provides good wifi internet connection college small auditorium access lift limited faculty physically disabled student faculty faculty member college average faculty member department good strict attendance also submission knowledgeable result student depict explicit campus life like school life technical event organised every semester cultural event held small scale student college bright versatile,2
review pune institute computer technology placement every student college get placed respectable salary package immense opportunity provided highest salary package offered lpa lowest salary package offered lpa average salary package offered around lpa lpa student got placed role offered mostly related development placement cell mainly facultydriven role student manage process infrastructure infrastructure college excellent necessary facility related academic available campus small ground playing cricket football wasnt feasible lab good food served mess mark vendor served u good food hostel facility limited plenty accommodation facility outside campus faculty faculty member helpful qualified knowledgeable computer science entc department department faculty member average faculty member computer science etc department mark strict regarding discipline,2
im quite satisfied placement year placement placement first half academic year going pretty well around student placed last year whereas student placed year around student offered package lac per annum company like hsbc finiq credit suisse deutsche bank etc visited college offer placement infrastructure lab classroom wellequipped campus department department almost every latest hardware software nvidia many company sponsored lab campus taken good care faculty student faculty pict good faculty member guidance academic quite good teacher helpful good insight latest technology implemented project help teacher many student publish research paper international level college conduct several activity throughout academic year many technical nontechnical event conducted college,2
best college pune coep placement placement seem amazing year around student got placed college placement around student acquired package lpa around student got salary package lpa student didnt get internship college infrastructure whole college wifi enabled classroom fairly outdated book library new updated lack sport facility college food available canteen good enough hostel room boy much good accommodation facility girl excellent faculty teacher college qualified knowledgeable helpful teaching quality fairly good faculty member try implement interactive teaching method faculty student ratio pretty normal college didnt provide industrial exposure student course curriculum outdated still help grasp basic subject,2
placement great course technically focused teacher knowledgeable placement college provides good support placement one strongest suit provide training placement good company contacted along mass recruiter placement senior batch student placed th october branch pg student placed computer engineering branch student placed entc branch student placed branch one student offered highest salary package lpa offered rakuten salary package lpa offered student salary lpa offered student fifty company supposed visit placement drive infrastructure infrastructure mark regard technical requirement lack sport facility small size campus would putoff student volleyball court basketball court available space used game like football cricket canteen satisfactory new girl hostel charming look clean wifi available across campus hostel classroom satisfactory faculty course curriculum one sanctioned sppu college affiliated sppu faculty member grouped category professor different strength weakness overall college average professor sporadic occurrence teacher actually knowledgeable teach well college pict acm student chapter pict ieee student chapter tedx pict pictorial magazine nss pict mun club robocon club pict algorithm club pict cubers club several event take place throughout year annual cultural festival take place three day called addiction annualtechnical event known impetus concept take place march,2
pict great college learn excel youre enjoy place placement lot company visit college placement however chance getting higher package less compared computer science branch niche company like rakuten avaya etc offer high package placement cell quite good invite good company every year infrastructure infrastructure college average class good clean lab wellequipped informative sport facility quite poor college two small ground library facility good wifi facility offered good quality faculty teacher quite knowledgeable teaching quality good occasional use projector equipment curriculum quite good test student ability core however assignment system quite tedious timeconsuming student acquire less amount knowledge system,2
ample opportunity provided really want succeed placement placement college good student get placed campus software development analysis seem common role offered placement cell ensures employability skill student student qualify placement end getting placed infrastructure pict doesnt ground lab infrastructure decent latest software operating system available classroom ventilated well canteen underwent management change semester ago good enough medical facility present faculty teacher qualified dont seem passion teaching everyone focus mainly university exam true teacher faculty passionate imparting knowledge want student step comfort zone college conduct quite lot technical nontechnical event crowd quite intelligent determined campus surroundings much great dhankawdi,2
overall college good providing academic technical make hectic placement placement college good academic year college highest package paid pune company like rakuten z technology morgan stanley avaya ola visited college placement student got internship college average stipend around r per month infrastructure area campus quite small wellequipped lab highspeed internet lab computer department around pc open source fedora ubuntu whole campus enabled wifi facility medical facility available college good college supportive sport good attendance two hostel college one boy one girl room accommodates two person attached toilet faculty teacher college wellqualified good degree way teaching okay get lot guidance different teaching method used except ppt blackboard pict student dont get enough industry exposure still good placement many student chapter like acm ieee art circle pictorial many present college student chapter organises event famous college fests inc pulzion credenz annual sport event named elevate famous attracts crowd every year corporate collegiate people taking part,2
best college pune computer etc engineering placement placement pict enhanced previous year like first average salary lac average become lac company nowadays hire talent knowledge degree completed student pict develop overall employable good company infrastructure campus small everything required happily complete year lab classroom well maintained well cleaned almost everyday college wifi browsing speed mbps range available classroom last year canteen changed student complain quality food canteen good well maintained cost effective faculty faculty pict reason student hungry knowledge attracted teacher proficiency subject make subject interesting student concentrate whole hour curriculum sppu know outdated somewhat give enough base knowledge require understand subject advanced concept learned student make expert subject online course event college good almost college attracted participate pulzions electroquest hunt credenzs roboliga worth participating surroundings college filled many food hub satisfy craving delicious food,2
