Name,Review,Date,Unnamed: 3,Cleaned_Review
Nikita Mistri | B.E. in Computer Engineering - Batch of 2019,"Small and satisfying college with extra brilliant placements.
 
 Placements: Placements in PICT have increased since last year. This year, the target of TPO was 100 companies. Almost more than half of the students got placed in the first semester. The highest salary package offered is 37 LPA. The placement cell is very beneficial. Several training programs are also held in the start.
 
 Infrastructure: PICT is a small campus, but all the facilities like labs, Wi-Fi, library, etc., are available. Labs and classrooms are well-equipped. The campus is self-soothing as it has a lot of trees. Quality of food in the canteen is good. The hostel is very luxurious.
 
 Faculty: Teachers are very intelligent and knowledgeable. Most of them are seniors and experienced ones. They are ready to help the students whenever required. Teachers use chalk and board as well as presentation methods for teaching. The course curriculum is useful in some senses.
 
 Other: PICT hosts several technical and non-technical events. Among these, INC and Credenz of IEEE are the largest.",2019-03-15,Shiksha,small satisfying college extra brilliant placement placement placement pict increased since last year year target tpo company almost half student got placed first semester highest salary package offered lpa placement cell beneficial several training program also held start infrastructure pict small campus facility like lab wifi library etc available lab classroom wellequipped campus selfsoothing lot tree quality food canteen good hostel luxurious faculty teacher intelligent knowledgeable senior experienced one ready help student whenever required teacher use chalk board well presentation method teaching course curriculum useful sens pict host several technical nontechnical event among inc credenz ieee largest
Shubham Garje | B.E. in Information Technology - Batch of 2022,"Placements are satisfactory, but extracurricular activities should be increased.
 
 Placements: More than 80% of the CSE students and More than 60% of the IT students get placed. About 50% of the E&TC students get placed. Companies like Rakuten, Goldman Sachs, TCS, Infosys and Wipro visit the campus every year for placements. Rakuten offered the highest salary package of about 35 LPA. The average salary package offered is about 7 LPA.
 
 Infrastructure: The campus is small. There are only basketball ground and table tennis. The hall, classrooms and labs are big enough and well-equipped. The library is good. The college provides good Wi-Fi and internet connection. The college has a small auditorium. Access to lift is limited to faculty and physically disabled students.
 
 Faculty: Faculty members in the college are average, but the faculty members in our department are good. They are very strict about 75% attendance and also submission. They are knowledgeable, and the result of students depict this explicit.
 
 Other: There is no campus life, it is like school life here. Technical events are organised every semester. The cultural events are held on a small scale. Students in the college are bright and versatile.",2019-03-15,Shiksha,placement satisfactory extracurricular activity increased placement cse student student get placed etc student get placed company like rakuten goldman sachs tc infosys wipro visit campus every year placement rakuten offered highest salary package lpa average salary package offered lpa infrastructure campus small basketball ground table tennis hall classroom lab big enough wellequipped library good college provides good wifi internet connection college small auditorium access lift limited faculty physically disabled student faculty faculty member college average faculty member department good strict attendance also submission knowledgeable result student depict explicit campus life like school life technical event organised every semester cultural event held small scale student college bright versatile
Sarang Pabalkar | B.E. in Information Technology - Batch of 2015,"Review of Pune Institute of Computer Technology.
 
 Placements: Every student from the college gets placed with a respectable salary package. Immense opportunities are provided. The highest salary package offered was 35 LPA, the lowest salary package offered was 3.50 LPA, and the average salary package offered was around 5 LPA to 6 LPA. All the students got placed. Roles offered were mostly related to development. The placement cell is mainly faculty-driven. The role of students is to manage the process.
 
 Infrastructure: The infrastructure of our college was excellent. All the necessary facilities related to academics were available. The campus has a small ground. Playing cricket and football wasn't feasible. Labs were good. Food served in the mess was not up to the mark. Vendors served us good food. Hostel facilities were limited, and there were plenty of accommodation facilities outside the campus.
 
 Faculty: Faculty members were helpful, qualified, and knowledgeable for the computer science and ENTC departments, but not for the IT department. But, some of the faculty members were above average. Faculty members in computer science and E&TC departments were up to the mark, but they were strict regarding discipline.",2018-11-21,Shiksha,review pune institute computer technology placement every student college get placed respectable salary package immense opportunity provided highest salary package offered lpa lowest salary package offered lpa average salary package offered around lpa lpa student got placed role offered mostly related development placement cell mainly facultydriven role student manage process infrastructure infrastructure college excellent necessary facility related academic available campus small ground playing cricket football wasnt feasible lab good food served mess mark vendor served u good food hostel facility limited plenty accommodation facility outside campus faculty faculty member helpful qualified knowledgeable computer science entc department department faculty member average faculty member computer science etc department mark strict regarding discipline
Naren Khake | B.E. in Computer Engineering - Batch of 2020,"I'm quite satisfied with the placements this year.
 
 Placements: Placements in the first half of the academic year 2018-19 are going pretty well. Around 412 students were placed last year, whereas, 404 students are placed this year. Around 300 students are offered a package of 5 lacs per annum or more. Companies like HSBC, FinIQ, Credit Suisse, Deutsche Bank, etc., visited our college to offer placements.
 
 Infrastructure: Labs and classrooms are very well-equipped. The campus has 3 departments, and each department has almost every latest hardware and software. Nvidia and many other companies have their sponsored labs in our campus which are taken good care by the faculty and students.
 
 Faculty: PICT has good faculty members. Their guidance in academics is quite good. Teachers are very helpful and have good insight into the latest technology and how they can be implemented in the projects. With the help of the teachers, many students publish their research papers at international level.
 
 Other: The college conducts several activities throughout the academic year. Many technical and non-technical events are conducted in our college.",2018-10-15,Shiksha,im quite satisfied placement year placement placement first half academic year going pretty well around student placed last year whereas student placed year around student offered package lac per annum company like hsbc finiq credit suisse deutsche bank etc visited college offer placement infrastructure lab classroom wellequipped campus department department almost every latest hardware software nvidia many company sponsored lab campus taken good care faculty student faculty pict good faculty member guidance academic quite good teacher helpful good insight latest technology implemented project help teacher many student publish research paper international level college conduct several activity throughout academic year many technical nontechnical event conducted college
Pranav Budhwant | B.E. in Computer Engineering - Batch of 2020,"This is the best college in Pune after COEP.
 
 Placements: Placements seem to be amazing this year. Around 404 students out of 600 got placed through college placements. Around 300 students acquired a package of 5 LPA. Around 100 students got salary packages below 5 LPA. Students didn't get any internships from college.
 
 Infrastructure: The whole college is Wi-Fi enabled. Classrooms are fairly outdated. Books in the library are new and are updated now and then. There is a lack of sports facilities in our college. Food available in the canteen is good enough. Hostel rooms for boys are not much good, but accommodation facilities for girls are excellent.
 
 Faculty: Most of the teachers in our college are qualified, knowledgeable, and helpful. Their teaching quality is fairly good. Faculty members try to implement interactive teaching methods. The faculty to student ratio is pretty normal. The college didn't provide any industrial exposure for students. The course curriculum is outdated but still helps to grasp the basics of the subjects.",2018-10-15,Shiksha,best college pune coep placement placement seem amazing year around student got placed college placement around student acquired package lpa around student got salary package lpa student didnt get internship college infrastructure whole college wifi enabled classroom fairly outdated book library new updated lack sport facility college food available canteen good enough hostel room boy much good accommodation facility girl excellent faculty teacher college qualified knowledgeable helpful teaching quality fairly good faculty member try implement interactive teaching method faculty student ratio pretty normal college didnt provide industrial exposure student course curriculum outdated still help grasp basic subject
Madhura Avachat | B.E. in Computer Engineering - Batch of 2020,"Placements are great. The course is technically focused. Few teachers are knowledgeable.
 
 Placements: Our college provides good support, and placements are one of their strongest suits. They provide training for placements. Good companies are contacted along with mass recruiters for placements. In my senior batch, 404 students were placed as of 15th October 2018. For other branches, 197+2 (PG) students were placed from computer engineering branch, 117+1 students were placed from EnTC branch, and 86+1 students were placed from IT branch. One student was offered the highest salary package of 33 LPA, which was offered by Rakuten. A salary package of 5 LPA and above was offered to 300 students, and a salary of below 5 LPA was offered to 104 students. Fifty more companies are supposed to visit for placement drives.
 
 Infrastructure: Infrastructure is up to the mark with regards to technical requirements. But, the lack of sports facilities and the small size of the campus would put-off some students. There is a volleyball court and a basketball court available. The same space is used for games like football and cricket. The canteen is satisfactory. The new girls hostel has a charming look and is very clean. Wi-Fi is available across the campus and in the hostel. Classrooms are satisfactory.
 
 Faculty: The course curriculum is the one sanctioned by SPPU as the college is affiliated to SPPU as of 2018. Faculty members cannot be grouped into a category as each professor has different strengths and weaknesses. Overall, it is a college of average professors with sporadic occurrences of teachers who are actually knowledgeable and teach well.
 
 Other: The college has PICT ACM Student Chapter, PICT IEEE Student Chapter, TEDx, PICT Pictorial Magazine, NSS, PICT MUN Club, Robocon Club, PICT Algorithms Club, and PICT Cubers Club, under which several events take place throughout the year. The annual cultural festival takes place for three days and is called Addiction. The annual-technical event is known as Impetus and Concepts, and it takes place in March.",2018-10-15,Shiksha,placement great course technically focused teacher knowledgeable placement college provides good support placement one strongest suit provide training placement good company contacted along mass recruiter placement senior batch student placed th october branch pg student placed computer engineering branch student placed entc branch student placed branch one student offered highest salary package lpa offered rakuten salary package lpa offered student salary lpa offered student fifty company supposed visit placement drive infrastructure infrastructure mark regard technical requirement lack sport facility small size campus would putoff student volleyball court basketball court available space used game like football cricket canteen satisfactory new girl hostel charming look clean wifi available across campus hostel classroom satisfactory faculty course curriculum one sanctioned sppu college affiliated sppu faculty member grouped category professor different strength weakness overall college average professor sporadic occurrence teacher actually knowledgeable teach well college pict acm student chapter pict ieee student chapter tedx pict pictorial magazine nss pict mun club robocon club pict algorithm club pict cubers club several event take place throughout year annual cultural festival take place three day called addiction annualtechnical event known impetus concept take place march
Rohitkaran Adusum ... | B.E. in Electronics and Telecommunication Engineering - Batch of 2020,"PICT is a great college to learn and excel. If you're here to enjoy, this is no place for you.
 
 Placements: A lot of companies visit our college for placements. However, the chances of getting higher packages are less when compared with computer science and IT branches. Niche companies like Rakuten, Avaya, etc., offer high packages. Our placement cell is quite good, and it invites good companies every year.
 
 Infrastructure: The infrastructure of the college is average. Classes are good and clean. Labs are well-equipped and informative. Sports facility is quite poor, and the college has only two small grounds. Library facilities are good, and the Wi-Fi facility offered is of good quality.
 
 Faculty: Most of the teachers are quite knowledgeable. The teaching quality is good with the occasional use of a projector and other equipment. The curriculum is quite good which tests the students' abilities to their core. However, the assignment system is quite tedious, time-consuming, and the students can acquire only a less amount of knowledge from this system.",2018-10-11,Shiksha,pict great college learn excel youre enjoy place placement lot company visit college placement however chance getting higher package less compared computer science branch niche company like rakuten avaya etc offer high package placement cell quite good invite good company every year infrastructure infrastructure college average class good clean lab wellequipped informative sport facility quite poor college two small ground library facility good wifi facility offered good quality faculty teacher quite knowledgeable teaching quality good occasional use projector equipment curriculum quite good test student ability core however assignment system quite tedious timeconsuming student acquire less amount knowledge system
Aseem Kannal | B.E. in Computer Engineering - Batch of 2020,"Ample opportunities are provided for those who really want to succeed.
 
 Placements: Placements in our college are good. Most of the students get placed on the campus. Software development and analysis seem to be the most common roles offered. There is a placement cell which ensures employability skills in students. Most of the students who qualify for placements do end up getting placed.
 
 Infrastructure: PICT doesn't have a ground. Lab infrastructure is decent. The latest software and operating systems are not available. Classrooms are not ventilated well. The canteen underwent a management change a semester ago, so it has been good enough. Medical facilities are present.
 
 Faculty: The teachers are qualified but don't seem to have a passion for teaching. Everyone focuses mainly on university exams, but this is not true for all teachers. Some faculty are passionate about imparting knowledge and want students to step out of their comfort zones.
 
 Other: The college does conduct quite a lot of technical and non-technical events. The crowd is quite intelligent and determined. Campus surroundings are not much great because it's in Dhankawdi.",2018-10-05,Shiksha,ample opportunity provided really want succeed placement placement college good student get placed campus software development analysis seem common role offered placement cell ensures employability skill student student qualify placement end getting placed infrastructure pict doesnt ground lab infrastructure decent latest software operating system available classroom ventilated well canteen underwent management change semester ago good enough medical facility present faculty teacher qualified dont seem passion teaching everyone focus mainly university exam true teacher faculty passionate imparting knowledge want student step comfort zone college conduct quite lot technical nontechnical event crowd quite intelligent determined campus surroundings much great dhankawdi
Saksham Sharma | B.E. in Information Technology - Batch of 2020,"Overall, the college is good at providing academics and technical, but they make it hectic.
 
 Placements: The placements in the college are very good. During the academic year 2017-18, our college had the highest package paid in Pune. Companies like Rakuten, ZS Technology, Morgan Stanley, Avaya, and Ola visited the college for placements. Most of the students got the internship through the college with an average stipend of around Rs. 5,000 per month.
 
 Infrastructure: The area of the campus is quite small, but they have well-equipped labs with high-speed internet. Each lab of computer and IT department has around 20 PCs with open source Fedora or Ubuntu. The whole campus is enabled with the Wi-Fi facility. Medical facilities available in the college are very good. The college is supportive of sports only if you have good attendance. There are two hostels in the college in which one for boys and one for girls. Each room accommodates two persons with attached toilet.
 
 Faculty: Teachers in the college are well-qualified having good degrees. Their way of teaching is okay, and we do get a lot of guidance. No different teaching methods are used, except PPT and blackboard. PICT students don't get enough industry exposure, but still, do good after placements.
 
 Other: Many student chapters like ACM, IEEE, art circle, pictorial and many more are present in the college. Each student chapter organises its event. The famous college fests are INC, Pulzion, and Credenz. Our annual sports event named Elevate is famous, and it attracts more crowd every year with corporate and collegiate people taking part in it.",2018-10-03,Shiksha,overall college good providing academic technical make hectic placement placement college good academic year college highest package paid pune company like rakuten z technology morgan stanley avaya ola visited college placement student got internship college average stipend around r per month infrastructure area campus quite small wellequipped lab highspeed internet lab computer department around pc open source fedora ubuntu whole campus enabled wifi facility medical facility available college good college supportive sport good attendance two hostel college one boy one girl room accommodates two person attached toilet faculty teacher college wellqualified good degree way teaching okay get lot guidance different teaching method used except ppt blackboard pict student dont get enough industry exposure still good placement many student chapter like acm ieee art circle pictorial many present college student chapter organises event famous college fests inc pulzion credenz annual sport event named elevate famous attracts crowd every year corporate collegiate people taking part
Harsh Kaushal | B.E. in Electronics and Telecommunication Engineering - Batch of 2020,"Best college In Pune if you have to do Computer, E&TC and IT Engineering.
 
 Placements: The placements of PICT have enhanced in previous years like first the average salary was 3-4 Lacs but now average has become more than 7 Lacs. The companies nowadays hire talent and knowledge than just degree completed student. PICT develop you overall to be employable in a good company.
 
 Infrastructure: The campus is small but have everything that is required to happily complete your 4 years. Here labs and classrooms are well maintained as well as cleaned almost everyday. College has its own Wi-Fi having a browsing speed of 4 Mbps but range is not available in classrooms. In last year Canteen has been changed after students complain of quality of food and now the canteen is too good and well maintained and cost effective.
 
 Faculty: The faculty of PICT is the reason that the students who are hungry for knowledge are attracted to it. 9/10 teachers have proficiency in their subject and make the subject interesting so that student can concentrate for whole 1 hour. The curriculum of SPPU as we know is outdated somewhat but give enough base knowledge that we require to understand the subject. It's advanced concepts are to be learned by the student himself and make him expert in the subject by doing some online courses.
 
 Other: The events of the college are too good and almost all colleges are attracted to it and participate into it. Pulzion's Electroquest Hunt and Credenz's Roboliga are worth participating. The surroundings of the college are filled with many food hubs. You can satisfy your cravings with delicious food.",2018-08-30,Shiksha,best college pune computer etc engineering placement placement pict enhanced previous year like first average salary lac average become lac company nowadays hire talent knowledge degree completed student pict develop overall employable good company infrastructure campus small everything required happily complete year lab classroom well maintained well cleaned almost everyday college wifi browsing speed mbps range available classroom last year canteen changed student complain quality food canteen good well maintained cost effective faculty faculty pict reason student hungry knowledge attracted teacher proficiency subject make subject interesting student concentrate whole hour curriculum sppu know outdated somewhat give enough base knowledge require understand subject advanced concept learned student make expert subject online course event college good almost college attracted participate pulzions electroquest hunt credenzs roboliga worth participating surroundings college filled many food hub satisfy craving delicious food
